4772.800 26.0 1.56 -2.9
4786.807 26.0 3.02 -1.606
4789.651 26.0 3.55 -0.958
4794.360 26.0 2.42 -3.91
4798.270 26.0 4.19 -1.46
4800.649 26.0 4.14 -1.029
4802.880 26.0 3.69 -1.53
4808.160 26.0 3.25 -2.64
4839.550 26.0 3.27 -1.84
4848.880 26.0 2.28 -3.15
4859.741 26.0 2.88 -0.764
4871.320 26.0 2.87 -0.34
4872.138 26.0 2.88 -0.567
4885.430 26.0 3.88 -1.15
4889.000 26.0 2.2 -2.55
4890.760 26.0 2.88 -0.38
4891.492 26.0 2.85 -0.112
4892.870 26.0 4.22 -1.21
4903.310 26.0 2.88 -0.89
4905.140 26.0 3.93 -1.91
4910.020 26.0 3.39 -1.28
4917.240 26.0 4.19 -1.27
4918.994 26.0 2.87 -0.342
4920.502 26.0 2.83 0.068
4924.770 26.0 2.28 -2.241
4939.690 26.0 0.86 -3.25
4946.390 26.0 3.37 -1.11
4961.920 26.0 3.64 -2.34
4962.580 26.0 4.18 -1.22
4966.090 26.0 3.33 -0.79
4973.100 26.0 3.96 -0.69
4985.250 26.0 3.93 -0.44
4994.130 26.0 0.91 -2.97
